Published Date,Account,Account Type,Campaign Name,Total Impressions,Total Engagements,Media Type
03-31-2023 19:55,CSGO,TWITTER,N/A ,0,0,Text
03-31-2023 19:49,CSGO,TWITTER,N/A ,0,0,Text
03-31-2023 19:49,CSGO,TWITTER,N/A ,0,0,Text
03-31-2023 19:49,CSGO,TWITTER,N/A ,0,0,Text
03-31-2023 19:43,CSGO,TWITTER,Community Engagement ,9517,1215,Video
03-31-2023 19:42,CSGO,TWITTER,N/A ,0,0,Photo
03-31-2023 19:40,CSGO,TWITTER,Community Engagement ,1882,83,Photo
03-31-2023 19:23,CSGO,TWITTER,Community Engagement ,17892,3076,Video
03-31-2023 19:15,CSGO,TWITTER,N/A ,0,0,Video
03-31-2023 18:55,CSGO,TWITTER,Community Engagement ,13874,1447,Video
03-31-2023 18:36,General ,FBPAGE,Community Engagement ,37692,8044,Photo
03-31-2023 18:30,DOTA2,TWITTER,N/A ,1013,153,Link
03-31-2023 18:28,DOTA2,TWITTER,N/A ,4630,339,Photo
03-31-2023 18:21,CSGO,TWITTER,Community Engagement ,2289,41,Photo
03-31-2023 17:11,General ,TWITTER,Community Engagement ,5216,113,Text
03-31-2023 17:09,CSGO,TWITTER,Community Engagement ,841,13,Photo
03-31-2023 16:50,General ,TWITTER,Community Engagement ,6498,123,Text
03-31-2023 16:50,General ,TWITTER,Community Engagement ,8321,133,Text
03-31-2023 16:38,General ,TWITTER,Community Engagement ,953,36,Text
03-31-2023 16:38,General ,TWITTER,N/A ,0,0,Photo
03-31-2023 16:22,DOTA2,TWITTER,Community Engagement ,954,28,Photo
03-31-2023 16:22,General ,FBPAGE,Community Engagement ,42328,8936,Photo
03-31-2023 16:20,General ,TWITTER,Community Engagement ,28260,1018,Photo
03-31-2023 15:59,CSGO,TWITTER,Community Engagement ,3793,72,Photo
03-31-2023 15:48,General ,TWITTER,Community Engagement ,1927,155,Text
03-31-2023 15:27,DOTA2,TWITTER,N/A ,766,15,Text
03-31-2023 15:27,General ,TWITTER,Community Engagement ,20434,231,Text
03-31-2023 15:11,DOTA2,TWITTER,N/A ,1242,28,Video
03-31-2023 14:52,General ,TWITTER,Community Engagement ,311,10,Video
